"","X","cas","toxpi","average_VAM_scores","mesh","status","compound_name","Drug_Matrix_Rat_invitro_Single_Dose_1_day","Drug_Matrix_Rat_invivo_Single_Dose_1_day","Drug_Matrix_Rat_invivo_Repeated_Dose_3_days","Drug_Matrix_Rat_invivo_Repeated_Dose_5_days","TG_GATEs_Rat_invivo_Single_Dose_High_1_day","TG_GATEs_Rat_invivo_Single_Dose_Low_1_day","TG_GATEs_Rat_invivo_Single_Dose_Middle_1_day","Consensus_Rat_invitro_DM_TG_GATEs","Consensus_LINCS_HEPG2","PPI_STRINGdb","TG_Gates_Rat_invivo_Repeated_15_day_High","TG_Gates_Rat_invivo_Repeated_15_day_Low","TG_Gates_Rat_invivo_Repeated_15_day_Middle","TG_Gates_Rat_invivo_Repeated_29_day_High","TG_Gates_Rat_invivo_Repeated_29_day_Low","TG_Gates_Rat_invivo_Repeated_29_day_Middle","TG_Gates_Rat_invivo_Repeated_8_day_High","TG_Gates_Rat_invivo_Repeated_8_day_Low","TG_Gates_Rat_invivo_Repeated_8_day_Middle","TG_GATEs_Human_invitro_Single_Dose_1_day","TG_GATEs_Rat_invitro_Single_Dose_1_day","TG_GATEs_Rat_invivo_Repeated_Dose_15_days","TG_GATEs_Rat_invivo_Repeated_Dose_29_days","TG_GATEs_Rat_invivo_Repeated_Dose_8_days","unk_VAM_scores"
"C009850","","103-33-3",0.09257547,0.699546355420134,"C009850","unk","azobenzene",0.73049775559453,NA,NA,0.601042135779855,0.781847782464067,0.707354011039577,0.814549551702276,0.655644621813023,0.785754658881893,0.98686936874272,0.889894757840806,0.628771107655914,0.670769640002526,0.868913084080355,0.908654816882109,0.939054269403723,0.691281705778264,0.195207361883762,0.30688435183221,0.208153945584906,NA,NA,NA,0.920235826020036,0.699546355420134
"C024268","","103-65-1",0.058389896,0.781753915138388,"C024268","unk","n-propylbenzene",0.73448807328784,NA,0.957972116487166,0.887040797995487,NA,NA,0.719263635560508,0.672741957642223,0.789515030797198,0.588127080233454,0.821606296142203,NA,0.895468623826807,0.844164844870878,NA,0.922437572861477,NA,0.801791049446814,NA,NA,0.659440056759604,0.927387138691709,0.504864452472445,NA,0.781753915138388
"C016627","","1034-01-1",0.078191532,0.870028974425188,"C016627","unk","octyl gallate",0.83930789004386,0.982500261540683,0.998661282082574,0.998805663342423,0.848779379321258,0.700845585906039,0.620912343567762,0.966823409579567,0.929614796786903,0.995893397867982,0.918792015091001,0.638593058678789,0.832744012688458,0.972085063757081,0.955223134775558,0.84313317068668,0.943179890060964,0.94576914003955,0.731598565126207,0.922801857285665,0.631109934883085,0.99383949639381,0.685430160432283,0.984251876266324,0.870028974425188
"C041594","","104-40-5",0.071004748,0.992917799951949,"C041594","edc","4-nonylphenol",0.99839237660987,0.999634193537021,0.999786957728945,0.999377255785721,0.998417628968152,0.983532946812215,0.999927020364231,0.99873304076961,0.998978311941834,0.974927851700653,0.999357843661772,0.991743283661126,0.990855144312461,0.999875583574159,0.998661563447108,0.999463726412851,0.974792691389129,0.997380667970763,0.990337564489123,0.96316043854335,0.989024260623851,0.999706048514196,0.986263195948693,0.997697602079943,0.992917799951949
"C053761","","104-51-8",0.060068631,0.735953739205564,"C053761","unk","n-butylbenzene",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.735953739205564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.735953739205564
"C020722","","104-54-1",0.064035487,0.896169170715433,"C020722","unk","cinnamyl alcohol",0.886930310986021,0.986697742180578,0.992953626728099,0.972806508291734,0.929753465058178,0.89080972462277,0.934408618229399,0.924069891737224,0.992990646815267,0.800993141658788,0.983044134427838,0.80706988287868,0.860338157633904,0.997323202880789,0.984133011301201,0.969130849215231,0.853010077009051,0.962037876231091,0.85998844993652,0.644539128526887,0.422566019225676,0.993557876150446,0.914462946846579,0.944444808598439,0.896169170715433
"C034017","","104-76-7",0.059523668,0.0639721942339608,"C034017","unk","2-ethylhexanol",NA,NA,NA,0.00579193344178254,0.0103225012446378,NA,0.00983360928326423,0.010997984399332,0.00237106736234355,0.047237201039881,NA,NA,NA,0.0628708940700766,NA,NA,0.0447978097409333,NA,0.107640048185176,0.304477068455551,0.108629432406486,NA,0.104083147180687,0.012585828231339,0.0639721942339608
"C432872","","105-87-3",0.059114921,0.226764810367484,"C432872","unk","geranyl acetate",0.0346015138888648,0.0190247602960687,0.579451096646095,0.0585675746730138,0.0112098336049808,0.183165746079596,0.160479010194418,0.000647799315925072,0.00200543428238677,0.809815877432746,0.0141013496699335,0.408355563210621,0.216090992338057,0.473381565424003,0.579351103779268,0.420185702810958,0.170066675866248,0.250283395698069,0.328207805835039,0.280171876030457,0.0330887305349035,0.330333453422975,0.0550894498840394,0.0246791379009426,0.226764810367484
"C045405","","105-99-7",0.07275659,0.871635388212092,"C045405","unk","di-n-butyl adipate",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.871635388212092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.871635388212092
"C007078","","106-22-9",0.061291889,0.835685468249347,"C007078","unk","citronellol",0.857612724519425,0.957939308205872,0.994051923808478,0.962623375017722,0.966265188874236,0.966718815442267,0.451382967730721,0.807834898901446,0.989501459288174,0.892404809341917,0.992922971288244,0.860917755989837,0.87185394770356,0.718164634448095,0.739767070088644,0.933524779837617,0.763205060256037,0.847051349187152,0.149643812224716,0.784944401210125,0.883874571454264,0.99684809123912,0.697570610758605,0.96982671116805,0.835685468249347
"C108217","","106-23-0",0.061383408,0.364533802523031,"C108217","unk","citronellal",0.339186018643938,0.0527984732567391,0.0929930491049101,0.0624874513460362,0.587416458860068,0.256663433063189,0.402855593376836,0.0223946127792272,0.694681936141508,0.183839367726432,0.915866340310183,0.47548352963018,0.367356025610285,0.473587475223135,0.0481311840142177,0.358887130906838,0.709981954830739,0.167687016109145,0.141399756670874,0.195750756500463,0.434573762164764,0.467264322682896,0.361709288728881,0.935816322871256,0.364533802523031
